Generation,AgentID,Score,Lines,Level,Time,W1_AggHeight,W2_Holes,W3_Blockades,W4:Bumpiness,W5:AlmostFull,W6_FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1,Num1Line,Num2Line,Num3Line,NumTetris
32,7,5200,95,1,360,8.723871340586639,17.35133287458103,6.226082903253882,3.7380020191642727,2.6446938310334596,7.046039192566248,9.924786435644906,13.163061147581216,11.597241521168007,4.92318134592445,70,9,1,1
32,8,6680,95,1,360,5.511006330574077,17.227594871641585,6.1635614329461905,3.6714795265783,2.715574698590375,7.287397917530016,10.195610531972822,9.78694555707791,11.03705236101681,4.689103116109184,52,13,3,2
32,9,4600,89,1,360,5.332973410947337,17.67017654921272,1.5578792206106722,3.771619173226727,2.8951901292813007,7.461743140405265,10.195610531972823,10.58747814763606,11.655948433124385,4.590946423467023,45,16,4,0
33,0,5640,88,1,360,12.52196121403302,17.639091946477595,7.27510995822297,4.628980137969013,2.931894772734572,7.404442139901463,10.087516649980762,10.47170555331286,11.10526653871803,4.973754935744352,51,9,5,1
33,1,5160,92,1,360,5.3329734109473375,17.67017654921272,1.5578792206106722,3.7539093010497364,2.854011060651994,7.585318380850585,10.195610531972823,10.58747814763606,12.304455319125143,4.590946423467024,59,13,1,1
33,2,4080,90,1,360,5.3329734109473375,17.746989049547516,9.835212529071754,3.7132029122941783,2.854011060651994,7.370474930178768,10.195610531972823,10.69620324794768,12.304455319125143,4.766564936064837,57,15,1,0
33,3,4480,95,1,360,5.332973410947337,17.67017654921272,1.5578792206106722,3.771619173226727,2.877407075711184,8.042545016548633,10.195610531972822,10.598042529075407,12.222043154599469,4.590946423467024,57,16,2,0
33,4,5860,90,1,360,5.758168289314646,17.67017654921272,1.5578792206106722,3.7880650393487123,2.870732759836172,7.3947530107607955,10.195610531972823,10.58747814763606,11.77580318740688,4.590946423467024,39,16,5,1
33,5,4200,92,1,360,5.462536377231609,17.597469357398246,11.052530778529064,3.310278492200432,2.4831954168097936,7.166882289207585,9.849505958201018,10.607749673144077,11.16517765233924,4.816792827202635,55,17,1,0
33,6,5220,92,1,360,7.282136807075654,17.5116584420083,3.8787495112698585,3.7631754278181058,2.7904127916258443,7.605403791729049,10.060966107287783,11.867969418384334,11.411815274953277,4.620147779560669,53,16,1,1
33,7,4080,89,1,360,8.993239347284602,17.654349854877932,4.468801521811473,4.199450740817234,2.8936654746167805,7.493225424015322,10.140574640270215,10.550104609093921,11.505398070708493,4.657950546148234,52,17,1,0
33,8,6180,87,1,360,7.194389846957547,17.056646285583533,8.511502933644971,3.525642369088595,2.5645117868617024,7.008859042150154,9.98154399736301,11.715802451833085,11.319114257815594,4.705657640345575,47,13,2,2
33,9,4180,93,1,360,9.619596509820482,5.075342988513884,4.4878638674663,4.509422352735748,2.9331594837583133,7.409390072386802,10.140214234501011,10.52814663917305,11.165334912040562,4.78712935103007,62,14,1,0
34,0,4340,90,1,360,12.52196121403302,17.639091946477595,7.27510995822297,4.628980137969013,2.931894772734572,7.404442139901463,10.087516649980762,10.47170555331286,11.10526653871803,4.973754935744352,46,19,2,0
34,1,4240,92,1,360,5.758168289314646,17.67017654921272,1.5578792206106722,3.7880650393487123,2.870732759836172,7.3947530107607955,10.195610531972823,10.58747814763606,11.77580318740688,4.590946423467024,51,19,1,0
